trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
199,False,"{'a': 0.001, 'e': 0.8195498933329256}",25,0,-98.2208195459816,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
200,False,"{'a': 0.001, 'e': 0.8187307530779818}",25,0,-86.73944095659222,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
201,False,"{'a': 0.001, 'e': 0.8179124315538594}",30,8,-35.41854532886036,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
202,False,"{'a': 0.001, 'e': 0.8170949279422366}",20,12,3.333405373168482,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.001, 'e': 0.8162782414256099}",20,0,-73.44549239449951,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
204,False,"{'a': 0.001, 'e': 0.8154623711872927}",20,0,-77.53829581793546,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
205,False,"{'a': 0.001, 'e': 0.8146473164114145}",20,2,-113.45932426770283,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
206,False,"{'a': 0.001, 'e': 0.8138330762829207}",25,0,-221.05427023238371,"{0: 9, 1: 4, 2: 9, 3: 0, 4: 3}",0
207,False,"{'a': 0.001, 'e': 0.813019649987571}",25,0,-199.6885113758559,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
208,False,"{'a': 0.001, 'e': 0.812207036711939}",30,19,12.567071354642007,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.001, 'e': 0.8113952356434114}",20,0,-25.12417940020415,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
210,False,"{'a': 0.001, 'e': 0.8105842459701871}",20,0,-115.41075220600652,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
211,False,"{'a': 0.001, 'e': 0.8097740668812763}",25,0,-141.855025288054,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
212,False,"{'a': 0.001, 'e': 0.8089646975664998}",20,0,-66.54105849019356,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
213,False,"{'a': 0.001, 'e': 0.8081561372164884}",20,0,-82.05068156104586,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
214,False,"{'a': 0.001, 'e': 0.8073483850226815}",25,0,-76.81463311631896,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
215,False,"{'a': 0.001, 'e': 0.8065414401773269}",25,0,-29.645146631124472,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
216,False,"{'a': 0.001, 'e': 0.8057353018734796}",30,0,-72.30450642914332,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
217,False,"{'a': 0.001, 'e': 0.8049299693050015}",20,0,-79.85141238348642,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
218,False,"{'a': 0.001, 'e': 0.8041254416665596}",30,4,-157.55792135757355,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 2}",1
219,False,"{'a': 0.001, 'e': 0.8033217181536265}",20,0,-65.34880442729717,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
220,False,"{'a': 0.001, 'e': 0.8025187979624785}",20,0,-88.16436136452857,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
221,False,"{'a': 0.001, 'e': 0.8017166802901953}",20,0,-62.773839610949494,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
222,False,"{'a': 0.001, 'e': 0.8009153643346592}",20,5,-59.52680623017338,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
223,False,"{'a': 0.001, 'e': 0.8001148492945541}",25,9,6.164926124438293,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.001, 'e': 0.7993151343693651}",20,0,-87.58736548649824,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
225,False,"{'a': 0.001, 'e': 0.7985162187593771}",20,12,1.0163362543338756,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.001, 'e': 0.7977181016656743}",20,0,-103.08267276695084,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
227,False,"{'a': 0.001, 'e': 0.7969207822901396}",25,0,-51.89782056027525,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
228,False,"{'a': 0.001, 'e': 0.7961242598354538}",20,0,-63.0852111369939,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
229,False,"{'a': 0.001, 'e': 0.7953285335050939}",25,6,-7.259828559782595,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
230,False,"{'a': 0.001, 'e': 0.794533602503334}",20,0,-54.98533947547449,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
231,False,"{'a': 0.001, 'e': 0.7937394660352427}",30,0,-199.9272346267445,"{0: 17, 1: 1, 2: 7, 3: 3, 4: 2}",0
232,False,"{'a': 0.001, 'e': 0.7929461233066837}",30,0,-187.08374160745674,"{0: 16, 1: 7, 2: 3, 3: 1, 4: 3}",0
233,False,"{'a': 0.001, 'e': 0.792153573524314}",25,8,-0.6733980667857626,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
234,False,"{'a': 0.001, 'e': 0.7913618158955839}",25,0,-121.06130600629572,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
235,False,"{'a': 0.001, 'e': 0.7905708496287356}",20,0,-113.42497990995363,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
